Gene,log2FoldChange,pvalue,padj
Prlr,-0.358,0.00938,0.169
Letm1,-0.0133,0.814,0.956
Ubqln1,0.069,0.0619,0.4
Fgfr4,-0.0489,0.941,0.986
Cadm3,-0.56,0.00143,0.0606
Txn2,0.0573,0.158,0.576
Slc1a3,-0.874,0.0412,0.338
Crbn,-0.129,0.0871,0.459
Il5ra,-1.15,0.49,0.837
Msh6,-0.0129,0.895,0.975
Fbxo11,0.00893,0.836,0.962
Mlxipl,-0.0156,0.872,0.968
Tbl2,0.136,0.0463,0.354
Bud23,0.0157,0.798,0.952
Nid1,-0.0226,0.741,0.935
Mcm5,-0.628,0.00121,0.0546
Hmox1,-0.373,0.0367,0.321
Mprip,0.0475,0.195,0.62
Cic,0.114,0.044,0.346
Pafah1b3,-0.239,0.272,0.695
Il27ra,-0.166,0.4,0.787
Prkaca,0.0601,0.231,0.66
Asf1b,-0.349,0.0693,0.42
Ddx39a,0.104,0.182,0.607
Dnajb1,0.27,0.0341,0.311
Usp40,0.0177,0.737,0.934
Kbtbd4,0.0355,0.702,0.923
Celf1,0.0361,0.295,0.714
Ndufs3,0.0881,0.0845,0.455
Por,-0.13,0.0773,0.439
Igf1r,0.0364,0.598,0.891
Insr,0.0325,0.688,0.918
Fcer2a,-2.71,0.000646,0.0377
Cyp2a5,-28.7,0,4.7E-09
Trim28,0.149,0.000335,0.0267
Ube2m,0.00942,0.846,0.964
Adcy9,0.0603,0.329,0.739
Mef2c,0.101,0.224,0.654
Ctr9,-0.0419,0.455,0.821
Eif4g2,0.0712,0.0172,0.228
Irag1,0.0312,0.803,0.953
Pcyt1a,0.122,0.00938,0.169
Zfp592,0.0979,0.0865,0.459
Psmd4,0.0175,0.662,0.911
Tmod4,-0.203,0.0475,0.358
Insrr,-0.424,0.437,0.811
Snx6,-0.0205,0.697,0.921
Mthfd2,-0.356,0.032,0.302
Kit,-0.231,0.204,0.633
Tomm40l,0.0407,0.541,0.863
Nr1i3,-0.439,0.0761,0.436
Apoa2,0.107,0.834,0.962
Pan2,0.118,0.101,0.487
Cs,0.185,0.000000972,0.000443
Ampd3,0.0419,0.613,0.897
Bcas2,-0.0133,0.787,0.949
Ctcf,0.0542,0.211,0.641
Pard6a,0.0528,0.666,0.911
Pvalb,-0.16,0.647,0.907
Tfap4,0.177,0.191,0.616
Ranbp1,-0.0636,0.34,0.747
Cd247,-0.555,0.264,0.689
Rfx5,-0.241,0.0816,0.448
Psmb4,0.0837,0.0588,0.392
Mmp8,0.14,0.881,0.971
Slc30a4,-0.0951,0.283,0.705
Sqor,-0.178,0.00306,0.0958
Bloc1s6,-0.157,0.00447,0.114
Metap1,-0.022,0.623,0.899
Gpr108,0.0874,0.109,0.504
Tnfsf14,-0.49,0.479,0.832
Gata6,0.181,0.00423,0.111
Rsl1d1,-0.0197,0.679,0.915
Apc,-0.0681,0.363,0.765
Reep5,0.0531,0.295,0.714
Ergic3,0.00737,0.875,0.969
Uqcc1,0.0402,0.55,0.868
Ncoa2,0.0498,0.441,0.813
Nr2c2,-0.0632,0.518,0.851
Nr2c1,-0.0315,0.722,0.928
Smpd4,0.0767,0.193,0.618
Pex1,-0.00646,0.938,0.985
Kctd20,-0.00655,0.911,0.98
Itgae,-0.0654,0.894,0.975
Ctns,0.167,0.0854,0.457
P2rx5,-0.213,0.0694,0.42
Shpk,-0.288,0.14,0.552
Trpv1,-0.181,0.755,0.939
Ephb3,0.0939,0.264,0.689
Tuft1,-0.0983,0.681,0.916
Rcn1,-0.11,0.0581,0.391
Dnase1,0.185,0.151,0.566
Trap1,0.0767,0.0588,0.392
Naa60,0.0305,0.568,0.876
1700037C18Rik,-0.131,0.453,0.819
Ankrd13d,-0.35,0.192,0.617
Tyrp1,-0.0595,0.92,0.982
Tpr,0.0119,0.826,0.96
Odr4,-0.121,0.0369,0.321
Prg4,0.0394,0.851,0.964
Dhx34,-0.063,0.453,0.819
Kptn,0.139,0.1,0.487
Napa,0.0616,0.0879,0.46
Sra1,-0.00239,0.964,0.992
Atp5g1,0.0911,0.172,0.595
Snf8,0.0238,0.694,0.92
Tbcb,0.0066,0.916,0.981
Inpp5k,0.0996,0.0897,0.465
Crkl,0.0777,0.103,0.492
Eps8l1,-1.1,0.0125,0.195
Clint1,-0.0373,0.262,0.689
Cdkal1,0.00182,0.982,0.995
Cdcp3,-0.0588,0.855,0.966
Htra1,0.0204,0.649,0.908
Zbtb17,0.103,0.15,0.564
Clcnkb,0.277,0.182,0.607
Fam131c,-0.403,0.358,0.761
Fblim1,0.166,0.000485,0.0336
Hspb7,0.261,0.0046,0.115
Epor,-0.316,0.168,0.589
Ccdc159,-0.579,0.00031,0.0257
Mob1b,-0.0305,0.709,0.924
Atp6v1b2,-0.036,0.477,0.831
Eps15l1,-0.04,0.433,0.808
Tep1,0.00827,0.924,0.983
Ttc5,-0.012,0.869,0.968
Osgep,0.0495,0.408,0.791
Aamp,0.0464,0.145,0.558
Tmbim1,0.0411,0.401,0.788
Arpc2,-0.0688,0.0504,0.367
Kmt2b,0.0883,0.211,0.64
Zbtb32,-0.338,0.459,0.823
Upk1a,0.784,0.0603,0.395
Tmem147,-0.00836,0.88,0.971
Rps9,-0.032,0.415,0.797
Tfpt,-0.0206,0.841,0.963
Susd2,-0.159,0.304,0.72
Ggt5,0.0455,0.619,0.898
Crip2,0.0993,0.0463,0.354
Crip1,-0.0774,0.486,0.835
Cbfa2t3,0.0871,0.302,0.718
Fbln1,0.235,0.0433,0.344
Pgrmc1,-0.0718,0.386,0.779
Gcat,-0.0792,0.613,0.897
Tek,0.0323,0.655,0.909
Mpl,-0.861,0.17,0.593
Elovl1,0.0488,0.509,0.846
Med8,0.0626,0.35,0.756
Hyi,-0.0542,0.702,0.923
Cdc20,-1.01,0.000635,0.0377
Adamts4,-0.165,0.726,0.93
Nectin4,0.0126,0.969,0.993
Pfdn2,0.00419,0.933,0.984
Rnf114,0.0214,0.735,0.934
Steep1,-0.124,0.0296,0.292
Neurl1a,-0.246,0.147,0.561
Srm,0.0839,0.437,0.811
Epha2,0.0308,0.719,0.927
Rbm14,0.0456,0.541,0.863
Actn3,-1.51,0.00166,0.0663
A530013C23Rik,-0.337,0.123,0.525
Zdhhc24,-0.0809,0.433,0.808
Bbs1,0.273,0.00605,0.134
Ndor1,0.0945,0.336,0.744
Nsmf,0.107,0.156,0.573
Pdk1,0.0294,0.633,0.903
Ptbp1,-0.045,0.549,0.867
Mvd,0.271,0.035,0.317
Cyba,-0.289,0.00177,0.0691
Itih3,-0.293,0.601,0.893
Stimate,0.0245,0.829,0.96
Sfmbt1,-0.0883,0.271,0.695
Prkag3,-0.281,0.163,0.583
Atp7b,0.096,0.898,0.976
Slc4a1,-0.533,0.378,0.775
Rundc3a,-0.265,0.442,0.813
Slc4a3,0.255,0.00000707,0.00201
Cdt1,-0.514,0.0316,0.301
Runx1t1,-0.0164,0.919,0.981
Snai3,0.259,0.186,0.611
Aprt,0.0673,0.456,0.821
Gtf2h1,-0.0658,0.259,0.687
Hfe,-0.0777,0.259,0.686
Abhd1,-1.07,0.0262,0.278
Slc5a6,0.101,0.227,0.657
Tcf23,-0.337,0.227,0.657
Aplp1,-0.14,0.49,0.837
Qrich1,0.0104,0.817,0.957
P4htm,0.139,0.076,0.436
Usp19,0.113,0.00144,0.0609
Pola1,-0.124,0.27,0.694
Cdc42,-0.0165,0.6,0.892
Pknox1,-0.033,0.668,0.911
Gmnn,-0.192,0.0134,0.203
Acot13,0.0404,0.557,0.87
Zfp184,-0.605,0.118,0.518
Cdk4,0.0385,0.372,0.77
B4galnt1,-0.809,0.0479,0.359
Mettl1,-0.122,0.122,0.524
Tspan31,0.0222,0.656,0.909
Kif5b,-0.121,0.125,0.527
Saal1,0.0203,0.866,0.968
Cnp,-0.209,0.0691,0.419
Odad4,-0.047,0.884,0.971
Sulf2,0.0633,0.447,0.817
Sod2,0.0326,0.561,0.873
Tmco6,0.00439,0.976,0.994
Stambp,-0.0529,0.411,0.794
Ezh1,0.0227,0.719,0.927
Hap1,-0.259,0.244,0.672
P3h4,0.191,0.00937,0.169
Ctnnb1,-0.0244,0.584,0.884
Eif1b,0.0599,0.298,0.716
Chrd,-0.134,0.493,0.839
Psmd2,0.0707,0.0291,0.29
Syngr3,-0.146,0.864,0.967
Vars,0.0611,0.399,0.786
Vwa7,-0.238,0.000562,0.0365
Hspa1l,0.145,0.381,0.776
Msh5,-0.258,0.456,0.821
Abhd16a,-0.00354,0.941,0.986
Neu1,0.0141,0.794,0.951
Ddah2,-0.00939,0.909,0.979
Clic1,-0.153,0.0402,0.334
Lsm2,0.0366,0.678,0.915
Pole,-0.132,0.48,0.832
Atp1a2,0.197,0.0025,0.0849
Casq1,0.512,0.00307,0.0958
Stx1a,0.0934,0.591,0.887
Zfp775,0.0251,0.786,0.949
Scube2,0.421,0.000513,0.0347
Mrpl49,-0.0179,0.778,0.946
Dennd2c,-0.133,0.35,0.755
Mark3,0.0749,0.0641,0.406
Gatad1,0.0932,0.0548,0.381
M6pr,-0.0717,0.117,0.517
Lrrc8a,-0.0514,0.577,0.879
Mc5r,-0.996,0.353,0.759
Ppp2r1a,0.128,0.00388,0.108
Fance,0.0482,0.598,0.891
Tinf2,0.00788,0.911,0.98
Tssk4,0.656,0.409,0.792
Hapln4,-0.228,0.753,0.938
Dus3l,0.153,0.00559,0.129
Gtpbp3,0.0751,0.265,0.69
Tgfbr1,-0.182,0.0012,0.0543
Homer1,0.0507,0.663,0.911
Rad51c,0.262,0.142,0.553
Gabrb2,1.08,0.132,0.54
Cav1,-0.15,0.00476,0.118
Arpp19,-0.0938,0.0384,0.328
Bcl2l1,-0.103,0.692,0.919
Khsrp,0.0665,0.219,0.648
Dio2,-2.13,0.00385,0.108
Ccdc124,0.113,0.0188,0.238
Cct4,0.0000774,0.999,1
0610009B22Rik,-0.019,0.855,0.966
Cpt1c,0.0492,0.712,0.925
Twist2,-0.286,0.399,0.786
Zfp655,0.132,0.0264,0.278
Rhoa,0.0467,0.135,0.545
Zmiz1,0.125,0.0247,0.271
Ankrd26,0.0243,0.829,0.96
Aldh16a1,0.102,0.154,0.571
Hnrnpa0,-0.0543,0.279,0.701
Prrg2,-0.0329,0.735,0.934
Hnrnph1,0.0277,0.561,0.872
Ift43,0.0549,0.451,0.818
Id3,0.0871,0.248,0.675
Tcap,0.0965,0.105,0.497
Arid1a,0.0825,0.211,0.641
Crlf1,-0.393,0.341,0.748
Ctsd,-0.0663,0.123,0.525
Rplp1,-0.0657,0.262,0.689
Hmgcll1,-0.481,0.448,0.817
Phox2a,-0.142,0.734,0.933
Abhd8,0.0709,0.418,0.798
Ift22,-0.0675,0.454,0.82
Fzd3,0.0704,0.723,0.928
Mid1ip1,0.161,0.00654,0.139
Ap2s1,0.00109,0.985,0.996
Fgfrl1,-0.131,0.211,0.641
Brme1,-0.147,0.774,0.945
Fhl2,0.239,0.00103,0.0504
Emc10,0.128,0.00666,0.141
Clstn3,-1.94,0.0266,0.28
Fbxw9,-0.0956,0.549,0.867
Spib,-3.39,0.000966,0.0486
Fnbp4,0.0588,0.368,0.768
Cers4,0.0685,0.347,0.753
Scrn3,0.0254,0.653,0.908
Phax,-0.128,0.12,0.521
Tle1,-0.0108,0.869,0.968
1700109H08Rik,0.215,0.297,0.716
Relt,-0.364,0.0638,0.405
Snrpb2,-0.175,0.014,0.207
Ubc,0.116,0.238,0.667
Prpf31,-0.0133,0.82,0.958
Sertad1,-0.00338,0.974,0.994
Carhsp1,-0.177,0.0248,0.271
Elk3,-0.0816,0.279,0.701
Herpud2,0.0121,0.796,0.951
Rdh13,0.0613,0.297,0.716
Nutf2,0.049,0.424,0.802
Arpc5,-0.154,0.00641,0.138
Elavl2,-0.23,0.664,0.911
Pou2f2,-0.931,0.0124,0.194
Mgst1,-1.01,1.6E-09,0.00000176
Nfib,0.0835,0.0874,0.46
Ubqln4,0.112,0.0108,0.18
Rbfox1,0.178,0.00059,0.0373
Rps18,-0.0827,0.0858,0.458
Rpl10,-0.0227,0.646,0.907
Rps15a,-0.075,0.259,0.686
Ncaph2,0.0356,0.319,0.731
Hipk1,-0.0705,0.355,0.76
Gprc5b,-0.206,0.00841,0.159
Man1a2,0.108,0.0763,0.436
Acyp1,-0.177,0.0992,0.484
Cd163,-0.472,0.000164,0.0174
Hdac5,0.182,0.0000876,0.0116
Rala,-0.0164,0.773,0.945
Clec3a,-0.245,0.571,0.878
Vdac3,0.0271,0.6,0.892
Slc1a7,-0.294,0.167,0.589
Vps72,0.147,0.00546,0.127
Gabpa,-0.0124,0.85,0.964
Bmp7,-0.239,0.239,0.669
Dynll1,0.0859,0.277,0.699
Pdcl,-0.0147,0.831,0.961
Tmem184b,0.0563,0.33,0.74
Nf2,-0.0534,0.215,0.644
Cabp7,-0.497,0.458,0.822
Zmat5,-0.0378,0.708,0.924
Ewsr1,0.0398,0.394,0.783
Ap1b1,0.0565,0.376,0.774
Derl3,-0.768,0.218,0.648
Tbx1,0.0387,0.873,0.969
Gnat2,-0.723,0.412,0.795
Bcl2l13,0.0545,0.206,0.634
2610028H24Rik,-0.224,0.48,0.832
Dqx1,-0.263,0.225,0.655
Ccl8,0.0303,0.946,0.987
Lnpk,-0.01,0.897,0.975
Prr29,0.365,0.199,0.627
Fam163b,-0.401,0.136,0.546
Rarres2,-0.181,0.103,0.493
Pttg1ip,-0.00337,0.928,0.983
Trpm2,-0.487,0.252,0.68
Ube2g2,-0.014,0.781,0.947
Met,-1.01,0.00312,0.096
Slc16a12,-0.241,0.0538,0.378
Syn2,-0.271,0.104,0.493
Elk1,0.0898,0.237,0.666
Nav1,0.0324,0.72,0.927
Tnpo1,-0.0244,0.746,0.936
Myod1,-2.61,0.18,0.606
Otog,-1.22,0.0843,0.455
Rnmt,-0.0149,0.835,0.962
Kcnq1,0.0744,0.297,0.716
Srp14,-0.0672,0.245,0.673
6330409D20Rik,0.0139,0.975,0.994
Cdk9,-0.122,0.0352,0.317
Tor2a,0.145,0.0718,0.427
Fpgs,0.126,0.219,0.648
Mrtfb,0.0689,0.409,0.792
Cbx5,0.0202,0.721,0.928
Apobec3,-0.379,0.0314,0.301
Sardh,-0.202,0.0249,0.271
Vav2,0.0876,0.15,0.563
Tex15,-1.91,0.0314,0.301
Ppp2cb,0.0448,0.379,0.776
G0s2,0.0398,0.716,0.926
Dmap1,0.0345,0.605,0.895
Mcu,0.0622,0.317,0.729
Tex11,-0.758,0.341,0.748
Bcr,0.021,0.808,0.954
Fxyd5,-0.15,0.143,0.555
Kcnd1,0.138,0.626,0.9
Tfcp2,0.122,0.0812,0.447
Pou6f1,0.0159,0.847,0.964
Ubp1,0.0465,0.241,0.669
Nuak2,-0.25,0.13,0.536
Cilk1,-0.105,0.123,0.524
Sdhb,0.0548,0.339,0.747
Cox4i2,0.0407,0.692,0.919
Snap47,-0.0106,0.864,0.967
Kdsr,-0.142,0.128,0.534
Vps4b,-0.098,0.0617,0.399
Rps25,-0.052,0.33,0.74
Tafazzin,0.0312,0.483,0.834
Kif19a,-0.41,0.338,0.745
Aldh3a2,-0.0915,0.074,0.431
Tmem115,0.0289,0.593,0.889
Hyal2,0.00441,0.943,0.986
Ifrd2,0.192,0.000417,0.031
Hyal1,-0.214,0.052,0.373
Tusc2,0.0375,0.534,0.86
Nprl2,0.0765,0.349,0.755
Slc38a3,0.322,2E-10,0.000000329
Cacna2d2,-0.271,0.382,0.777
Rassf1,0.111,0.185,0.611
Epn3,-0.572,0.0000187,0.004
Rnf112,0.583,0.614,0.897
Slc3a2,-0.0584,0.487,0.835
Nxf1,0.106,0.0438,0.346
Stx5a,-0.00294,0.959,0.99
Slc47a1,-0.0173,0.832,0.961
Tnfrsf13b,-1.16,0.0102,0.176
Spire2,-0.419,0.585,0.885
Prox1,0.168,0.191,0.616
Bltp2,0.0247,0.606,0.896
AI597479,-0.012,0.86,0.967
Tmem86a,0.151,0.0845,0.455
Optc,-0.118,0.798,0.952
Tex14,-0.471,0.399,0.786
Ifi35,-0.168,0.0572,0.388
Rdm1,-0.0167,0.797,0.952
Nedd8,0.0717,0.163,0.583
Gosr1,-0.0478,0.313,0.725
Mrpl52,0.0387,0.637,0.904
Kansl3,0.0255,0.503,0.842
Eya4,-0.219,0.491,0.838
Ebf3,-0.142,0.153,0.569
Uckl1os,-0.166,0.286,0.707
Faf1,0.13,0.00515,0.123
Gm266,-0.249,0.497,0.841
Tsacc,0.0947,0.682,0.916
Mettl16,0.0103,0.877,0.97
Dazl,-0.712,0.198,0.626
Apol7a,-0.546,0.494,0.839
Pigyl,0.022,0.772,0.945
Rbm25,0.00755,0.892,0.974
Psen2,0.121,0.186,0.611
Acaa1b,-1.71,0.0533,0.377
Plcd1,0.116,0.0526,0.374
Fads1,-0.0543,0.407,0.791
Lmbr1,0.128,0.0737,0.43
Tnfrsf22,-0.00989,0.953,0.989
Cars,-0.0221,0.733,0.933
Wnt2,0.0807,0.863,0.967
Gabra1,1.81,0.0082,0.157
Kdelr3,0.18,0.288,0.71
Apip,0.0294,0.709,0.924
Pdhx,0.0155,0.816,0.957
Vac14,-0.0305,0.668,0.911
Mcoln2,-0.771,0.359,0.763
Slc5a1,-0.174,0.708,0.924
Akt1s1,0.104,0.00309,0.0959
Tbrg1,-0.0809,0.166,0.587
Adssl1,-0.0544,0.397,0.785
Brf1,0.0351,0.557,0.87
Vipr2,-0.262,0.208,0.637
Odc1,-0.0127,0.882,0.971
Thg1l,-0.0153,0.894,0.975
Adam19,-0.0621,0.703,0.923
Pabpc4,0.00754,0.876,0.969
Exoc3l2,-0.236,0.213,0.642
Zfp296,-0.0778,0.799,0.952
Plin5,-0.0446,0.679,0.915
Sugp1,-0.00241,0.969,0.993
Dhdh,-0.137,0.195,0.621
Zfp790,0.0633,0.4,0.787
Fuz,0.0321,0.632,0.902
Sptbn4,-0.686,0.00109,0.0514
Pgam1,-0.143,0.199,0.628
Evi5,-0.071,0.343,0.75
Evi5l,0.0626,0.349,0.755
Snapc2,-0.0154,0.826,0.96
Git1,0.0488,0.465,0.825
Gltp,-0.341,0.00000939,0.00246
Bnip2,0.0443,0.286,0.708
Ccnt1,0.0691,0.335,0.744
Scarf2,0.00392,0.972,0.994
Brms1l,0.0999,0.121,0.522
Med15,0.039,0.475,0.829
Dhdds,-0.1,0.125,0.528
Ubxn11,0.00215,0.995,0.998
Mogat1,-0.869,0.278,0.701
Tjap1,0.251,0.000645,0.0377
Ehf,-1.2,0.263,0.689
Rpl15,0.0197,0.742,0.935
Tmem167,-0.0497,0.506,0.844
Steap4,0.00829,0.906,0.978
Mplkip,0.0373,0.697,0.921
Kif11,-0.42,0.116,0.515
Rpa3,-0.0411,0.714,0.925
Mlkl,-0.187,0.216,0.646
Phox2b,-0.377,0.809,0.954
Tnpo3,0.0211,0.586,0.885
Ttll5,0.0123,0.843,0.964
Zfp715,0.0988,0.198,0.625
Retn,-2.07,0.00968,0.172
Cdh23,0.0106,0.913,0.98
Rps5,-0.0256,0.583,0.883
Podnl1,-0.626,0.37,0.769
Adgrl1,0.147,0.0175,0.23
Amotl1,0.0501,0.264,0.689
Etv5,-0.292,0.00393,0.109
Gfod2,0.0299,0.84,0.963
Enkd1,0.314,0.0846,0.455
Atp6v0d1,0.0308,0.589,0.886
Ptprs,0.0418,0.486,0.835
Slc41a1,0.058,0.333,0.743
Iglon5,-0.0665,0.815,0.956
Igf2bp1,-0.491,0.513,0.848
Zfp651,0.116,0.0578,0.39
Nelfb,-0.0103,0.845,0.964
Card14,-0.382,0.501,0.842
Tmem175,-0.0154,0.848,0.964
Bcas1,-0.108,0.788,0.949
Tango2,0.0837,0.218,0.647
Aldh1a2,-0.0784,0.689,0.918
Ndufs2,0.0362,0.48,0.833
Atraid,0.0279,0.614,0.897
Cad,0.0884,0.471,0.828
Sh3bp5l,0.0202,0.706,0.924
Atad1,-0.0131,0.792,0.95
Pten,-0.0333,0.618,0.898
Pea15a,0.00998,0.821,0.958
Timm23,0.0708,0.152,0.566
Tnfaip8l2,-0.14,0.57,0.877
Trnt1,-0.0318,0.653,0.908
Ehmt2,0.00552,0.911,0.98
Elof1,0.0134,0.834,0.962
Med16,0.0345,0.542,0.864
St3gal1,-0.242,0.0000502,0.00777
Tmem259,0.11,0.0037,0.106
Rnf170,0.0492,0.426,0.804
Clip3,-0.0415,0.718,0.927
Myl2,0.0235,0.707,0.924
Dedd,0.0408,0.544,0.864
Mcemp1,-0.178,0.844,0.964
Nit1,-0.0278,0.608,0.896
Pax5,-3.33,0.000514,0.0347
Prdm15,0.0559,0.619,0.898
Rnf168,-0.0584,0.29,0.712
Dynlt2b,0.189,0.141,0.553
Chp1,-0.031,0.458,0.822
Trpv4,-0.374,0.011,0.182
Klhl3,0.3,0.00119,0.0542
Tvp23b,-0.092,0.127,0.532
Dnajc7,0.0115,0.815,0.957
Zfp385c,0.747,0.0225,0.258
Cacybp,0.0853,0.178,0.603
Cluap1,-0.106,0.21,0.639
Zswim7,0.186,0.106,0.499
Pigl,0.0564,0.677,0.915
Ndufa2,0.0299,0.619,0.898
Pam16,0.041,0.551,0.868
Glis2,-0.0179,0.86,0.967
Cox6c,0.0611,0.304,0.72
Bicc1,0.123,0.121,0.522
Ube2z,0.0407,0.314,0.726
Tmem87b,-0.00324,0.938,0.985
Anapc1,0.0339,0.478,0.831
Mertk,-0.0724,0.551,0.868
Tsg101,0.115,0.00508,0.121
Hps5,0.00589,0.942,0.986
Map3k4,0.147,0.00716,0.148
Piezo1,-0.0817,0.306,0.722
Blk,-0.855,0.0426,0.342
Rnf166,0.135,0.0466,0.356
Ankrd28,0.0737,0.339,0.747
Ankrd52,0.23,0.0000453,0.00722
Pkd2l2,0.0515,0.509,0.846
Srp19,-0.0843,0.138,0.548
Clec4f,-1.6,0.0498,0.365
Wdfy2,0.0606,0.383,0.777
Rbsn,0.0596,0.192,0.617
Mrps25,0.0127,0.869,0.968
Dguok,0.0707,0.212,0.641
Camta1,0.0977,0.13,0.537
Csf1,0.098,0.326,0.737
Strip1,0.0847,0.0868,0.459
Kif1a,-0.37,0.194,0.62
Slc25a11,0.0748,0.167,0.589
Cmc2,-0.00662,0.943,0.986
Chfr,-0.0464,0.505,0.843
Hoxa2,-0.242,0.613,0.897
Tex261,0.0275,0.473,0.828
Fam120b,0.0172,0.707,0.924
Tbp,-0.0129,0.865,0.967
Psmb1,-0.0302,0.439,0.812
Dll1,0.179,0.171,0.594
Nol3,0.0196,0.725,0.929
Fhod1,-0.0393,0.654,0.908
Plekhg4,0.348,0.562,0.873
Slc9a5,-0.314,0.0904,0.466
Elmo3,-0.0334,0.833,0.961
Stc1,-0.21,0.272,0.696
Matcap1,0.135,0.396,0.785
Tppp3,0.0242,0.842,0.963
Msh3,-0.0483,0.53,0.858
Tmem208,0.0693,0.403,0.789
E2f4,0.0264,0.673,0.913
Surf4,0.0757,0.123,0.525
Surf2,0.0233,0.739,0.934
Dnajb9,-0.107,0.0109,0.182
Naf1,-0.09,0.238,0.668
Yes1,-0.142,0.176,0.601
Ppp1cb,0.0183,0.718,0.927
Gorasp2,0.0741,0.203,0.632
Tsen15,0.101,0.194,0.62
Efr3a,0.0491,0.213,0.642
Trappc2l,-0.0746,0.342,0.749
Acsf3,0.0348,0.924,0.983
Ddx19a,-0.058,0.228,0.658
Galns,-0.0938,0.39,0.781
Gata2,-0.0932,0.194,0.619
C8g,-0.32,0.174,0.598
Entpd2,-0.199,0.00585,0.131
Rabl6,0.0993,0.0305,0.297
Ptgds,-0.4,0.27,0.694
Edf1,-0.0301,0.532,0.859
Clic3,0.446,0.185,0.611
Npdc1,-0.0802,0.279,0.701
Fbxw5,0.00525,0.895,0.975
Slc25a13,0.0057,0.926,0.983
Ube2i,0.0535,0.243,0.671
Tsr3,-0.0215,0.852,0.965
Unkl,0.00914,0.916,0.981
Lrrk1,0.108,0.203,0.631
Aldh1a3,-0.334,0.112,0.507
Actn1,0.0385,0.713,0.925
Sirt2,0.0371,0.289,0.711
Hnrnpl,0.0107,0.873,0.969
Nolc1,0.102,0.164,0.584
Casd1,-0.0269,0.613,0.897
Cnksr3,-0.032,0.807,0.954
Mtmr1,0.0314,0.554,0.87
Hmgb3,-0.0397,0.461,0.824
Map2,-0.0359,0.764,0.942
Cyp2j9,-0.234,0.216,0.645
Abca1,-0.0697,0.56,0.872
Nipsnap3b,-0.249,0.0616,0.399
Lage3,0.0756,0.381,0.776
Ubl4a,0.0138,0.77,0.944
Gdi1,0.0865,0.0165,0.223
Sash1,-0.0156,0.773,0.945
Gadd45b,-0.171,0.413,0.795
Slamf6,-1.65,0.0504,0.367
Slamf1,-0.536,0.19,0.615
Zdhhc12,-0.0833,0.495,0.84
Endog,0.0726,0.273,0.696
Cybb,-0.362,0.0369,0.321
Golga7,-0.0011,0.979,0.995
Xk,0.112,0.416,0.797
Pcolce2,-0.0938,0.181,0.607
Cd48,-0.326,0.258,0.685
Clpx,-0.0509,0.448,0.817
Trabd,0.0513,0.377,0.775
Mov10l1,0.0146,0.829,0.96
Dennd6b,0.16,0.0441,0.346
Cd83,-0.177,0.497,0.841
Ace2,-0.37,0.117,0.516
Gzmb,-0.0286,0.978,0.995
C4a,0.244,0.707,0.924
Ager,-0.44,0.364,0.765
Atf6b,0.0724,0.22,0.65
Egfl8,-0.13,0.723,0.928
Notch4,-0.0796,0.432,0.807
Ppt2,0.0557,0.271,0.695
Prrt1,-0.076,0.666,0.911
Rnf5,0.11,0.0897,0.465
Fam163a,-0.192,0.755,0.939
Cacfd1,0.0432,0.512,0.847
Hivep2,0.191,0.00282,0.0922
Arnt,0.0661,0.0791,0.443
Itga2,-0.441,0.0818,0.449
Mocs2,0.00451,0.939,0.985
Nat9,-0.0375,0.683,0.916
Lpl,0.0446,0.548,0.867
Atp6v0e,-0.137,0.0361,0.319
Nkx2-5,0.208,0.00329,0.0981
Zfp318,-0.0431,0.579,0.881
Ttbk1,-0.188,0.527,0.856
Srf,0.161,0.00481,0.119
Gata3,-0.276,0.381,0.777
Gata5,-0.434,0.176,0.6
Lama5,0.571,0.000000978,0.000443
Steap2,0.0236,0.91,0.98
Hspa8,0.0888,0.33,0.741
Serac1,0.149,0.0271,0.281
Pdzd11,-0.0785,0.286,0.708
Psma2,0.058,0.244,0.672
Mrpl32,-0.0023,0.974,0.994
Setdb1,0.0883,0.12,0.521
Anxa9,-0.807,0.0138,0.206
Arnt2,-0.0933,0.757,0.939
Prune1,0.0468,0.484,0.834
Cers2,-0.0742,0.16,0.58
Capza2,-0.0176,0.738,0.934
Plekho1,0.0228,0.678,0.915
Vps45,0.0407,0.706,0.924
Prpf3,0.0186,0.738,0.934
Anp32e,-0.0622,0.157,0.575
Aph1a,0.0896,0.072,0.427
Tab2,0.0377,0.191,0.616
Ppil4,-0.033,0.501,0.842
Cnih1,-0.0761,0.097,0.482
Eps8,-0.217,0.0145,0.21
Med22,0.0949,0.105,0.497
Surf1,0.0294,0.652,0.908
Med28,-0.1,0.159,0.577
Qdpr,0.016,0.735,0.934
Gnrh1,-0.0536,0.941,0.986
Tnr,-0.0754,0.854,0.966
Sqstm1,0.086,0.263,0.689
Nfe2l2,-0.0396,0.313,0.725
Rxrg,0.0918,0.219,0.648
Rxra,0.11,0.0173,0.228
Adamtsl4,0.0814,0.248,0.675
Fcrls,-0.0712,0.546,0.866
Cd5l,-3.6,0.0321,0.303
Prpsap1,-0.0283,0.61,0.897
Fam184b,-1.21,0.213,0.642
Ncapg,-0.971,0.0427,0.342
Lcorl,-0.038,0.79,0.95
Lta4h,-0.0323,0.54,0.863
Dstn,0.166,0.00225,0.0803
Macroh2a1,-0.0391,0.459,0.823
Gtf2ird2,0.0304,0.75,0.937
Bola1,-0.109,0.108,0.502
